"Position","Name","Salary","GameInfo","AvgPointsPerGame","Team","Opponent","Projection","Projection_dfn","Actual_fpts"
"PF/C","LaMarcus Aldridge",8000,"DAL@SA 12/16/2017 08:30PM ET",39.741,"SA","DAL",0,36.7,43.5
"PG","Kyrie Irving",7800,"BOS@MEM 12/16/2017 09:00PM ET",38.616,"BOS","MEM",0,38.7,32
"C","Marc Gasol",7500,"BOS@MEM 12/16/2017 09:00PM ET",39.545,"MEM","BOS",0,37.7,54
"SF/PF","Kawhi Leonard",7100,"DAL@SA 12/16/2017 08:30PM ET",26.5,"SA","DAL",0,0,0
"PG/SG","Tyreke Evans",7000,"BOS@MEM 12/16/2017 09:00PM ET",33.259,"MEM","BOS",0,33.6,41.75
"PF/C","Al Horford",6600,"BOS@MEM 12/16/2017 09:00PM ET",35.139,"BOS","MEM",0,32.3,33.75
"SF/PF","Harrison Barnes",6500,"DAL@SA 12/16/2017 08:30PM ET",32.207,"DAL","SA",0,30.5,21.25
"PG","Mike Conley",6300,"BOS@MEM 12/16/2017 09:00PM ET",28.771,"MEM","BOS",0,0,0
"SF/PF","Rudy Gay",5900,"DAL@SA 12/16/2017 08:30PM ET",25.106,"SA","DAL",0,27,16.5
"SF/PF","Jayson Tatum",5700,"BOS@MEM 12/16/2017 09:00PM ET",26.575,"BOS","MEM",0,24.1,40.75
"PG/SG","JJ Barea",5700,"DAL@SA 12/16/2017 08:30PM ET",25.379,"DAL","SA",0,26.9,0
"SG/SF","Jaylen Brown",5600,"BOS@MEM 12/16/2017 09:00PM ET",27.009,"BOS","MEM",0,25.4,21.25
"PF/C","Pau Gasol",5500,"DAL@SA 12/16/2017 08:30PM ET",28.306,"SA","DAL",0,23.9,2.75
"PG/SF","Kyle Anderson",5200,"DAL@SA 12/16/2017 08:30PM ET",24.489,"SA","DAL",0,0,0
"SG/SF","Marcus Smart",5100,"BOS@MEM 12/16/2017 09:00PM ET",24.393,"BOS","MEM",0,24.9,22
"SG/SF","Danny Green",5000,"DAL@SA 12/16/2017 08:30PM ET",21.683,"SA","DAL",0,0,0
"PG/SG","Dennis Smith",5000,"DAL@SA 12/16/2017 08:30PM ET",26.967,"DAL","SA",0,0,0
"PG/SG","Yogi Ferrell",4800,"DAL@SA 12/16/2017 08:30PM ET",18.25,"DAL","SA",0,20.8,43.75
"SG/SF","Wesley Matthews",4700,"DAL@SA 12/16/2017 08:30PM ET",23.052,"DAL","SA",0,22.7,22
"SF/PF","Marcus Morris",4600,"BOS@MEM 12/16/2017 09:00PM ET",23.281,"BOS","MEM",0,0,0
"PF/C","Dirk Nowitzki",4600,"DAL@SA 12/16/2017 08:30PM ET",23.009,"DAL","SA",0,22.3,27.5
"SF/PF","JaMychal Green",4500,"BOS@MEM 12/16/2017 09:00PM ET",20.625,"MEM","BOS",0,23.8,15.5
"PG","Patty Mills",4500,"DAL@SA 12/16/2017 08:30PM ET",19.902,"SA","DAL",0,18.3,0
"PG/SG","Terry Rozier",4400,"BOS@MEM 12/16/2017 09:00PM ET",20.458,"BOS","MEM",0,17.4,21
"PG/SG","Andrew Harrison",4400,"BOS@MEM 12/16/2017 09:00PM ET",14.284,"MEM","BOS",0,19.3,9
"PG","Tony Parker",4400,"DAL@SA 12/16/2017 08:30PM ET",18.857,"SA","DAL",0,0,0
"PG","Dejounte Murray",4400,"DAL@SA 12/16/2017 08:30PM ET",17.25,"SA","DAL",0,23.9,28.5
"C","Aron Baynes",4100,"BOS@MEM 12/16/2017 09:00PM ET",15.475,"BOS","MEM",0,13.6,20
"SG/SF","Manu Ginobili",4100,"DAL@SA 12/16/2017 08:30PM ET",15.946,"SA","DAL",0,15.3,24.75
"PG/SG","Seth Curry",4000,"DAL@SA 12/16/2017 08:30PM ET",0,"DAL","SA",0,0,0
"PG","Mario Chalmers",3900,"BOS@MEM 12/16/2017 09:00PM ET",18.222,"MEM","BOS",0,18.8,11
"SF/PF","Chandler Parsons",3900,"BOS@MEM 12/16/2017 09:00PM ET",18,"MEM","BOS",0,0,0
"SG","Brandon Paul",3900,"DAL@SA 12/16/2017 08:30PM ET",8.433,"SA","DAL",0,17,4.25
"PG/SG","Bryn Forbes",3900,"DAL@SA 12/16/2017 08:30PM ET",11.148,"SA","DAL",0,17.2,14
"SF/PF","Davis Bertans",3800,"DAL@SA 12/16/2017 08:30PM ET",8.25,"SA","DAL",0,12.5,25.75
"SG/SF","Dillon Brooks",3700,"BOS@MEM 12/16/2017 09:00PM ET",15.786,"MEM","BOS",0,14.3,18.75
"PF/C","Dwight Powell",3700,"DAL@SA 12/16/2017 08:30PM ET",16.366,"DAL","SA",0,16.1,13.25
"PG/SG","Devin Harris",3600,"DAL@SA 12/16/2017 08:30PM ET",16.772,"DAL","SA",0,17.3,4.75
"PF","Maxi Kleber",3600,"DAL@SA 12/16/2017 08:30PM ET",11.793,"DAL","SA",0,17.9,32.25
"PF/C","Daniel Theis",3500,"BOS@MEM 12/16/2017 09:00PM ET",12.107,"BOS","MEM",0,11,14.75
"SG/SF","James Ennis III",3400,"BOS@MEM 12/16/2017 09:00PM ET",14.685,"MEM","BOS",0,11.8,0
"SG/SF","Ben McLemore",3400,"BOS@MEM 12/16/2017 09:00PM ET",12.882,"MEM","BOS",0,12.3,2
"PG","Shane Larkin",3400,"BOS@MEM 12/16/2017 09:00PM ET",8.036,"BOS","MEM",0,8.8,3.5
"SG/SF","Semi Ojeleye",3400,"BOS@MEM 12/16/2017 09:00PM ET",6.319,"BOS","MEM",0,7.4,0
"PF/C","Jarell Martin",3200,"BOS@MEM 12/16/2017 09:00PM ET",10.75,"MEM","BOS",0,7.5,23
"PF/C","Brandan Wright",3000,"BOS@MEM 12/16/2017 09:00PM ET",13.234,"MEM","BOS",0,0,0
"SG/SF","Gordon Hayward",3000,"BOS@MEM 12/16/2017 09:00PM ET",3.25,"BOS","MEM",0,0,0
"PF","Abdel Nader",3000,"BOS@MEM 12/16/2017 09:00PM ET",4.212,"BOS","MEM",0,0,0
"SG","Jabari Bird",3000,"BOS@MEM 12/16/2017 09:00PM ET",3.667,"BOS","MEM",0,0,0
"PF","Vince Hunter",3000,"BOS@MEM 12/16/2017 09:00PM ET",3,"MEM","BOS",0,0,0
"PG/SG","Wayne Selden",3000,"BOS@MEM 12/16/2017 09:00PM ET",8.25,"MEM","BOS",0,0,0
"SG","Kadeem Allen",3000,"BOS@MEM 12/16/2017 09:00PM ET",3,"BOS","MEM",0,0,0
"PF/C","Ivan Rabb",3000,"BOS@MEM 12/16/2017 09:00PM ET",0.75,"MEM","BOS",0,0,0
"PF/C","Deyonta Davis",3000,"BOS@MEM 12/16/2017 09:00PM ET",10.233,"MEM","BOS",0,10.5,9.5
"PF/C","Guerschon Yabusele",3000,"BOS@MEM 12/16/2017 09:00PM ET",4.861,"BOS","MEM",0,0,0
"SG","Kobi Simmons",3000,"BOS@MEM 12/16/2017 09:00PM ET",2,"MEM","BOS",0,0,4.5
"PF/C","Josh McRoberts",3000,"DAL@SA 12/16/2017 08:30PM ET",0,"DAL","SA",0,0,0
"C","Jeff Withey",3000,"DAL@SA 12/16/2017 08:30PM ET",3.722,"DAL","SA",0,0,0
"C","Salah Mejri",3000,"DAL@SA 12/16/2017 08:30PM ET",11.826,"DAL","SA",0,0,7.75
"SG/SF","Darrun Hilliard",3000,"DAL@SA 12/16/2017 08:30PM ET",3.813,"SA","DAL",0,0,0
"SF","Dorian Finney-Smith",3000,"DAL@SA 12/16/2017 08:30PM ET",5.875,"DAL","SA",0,0,0
"PF","Nerlens Noel",3000,"DAL@SA 12/16/2017 08:30PM ET",12.132,"DAL","SA",0,0,0
"PF","Matt Costello",3000,"DAL@SA 12/16/2017 08:30PM ET",12.25,"SA","DAL",0,0,0
"PF/C","Joffrey Lauvergne",3000,"DAL@SA 12/16/2017 08:30PM ET",9.321,"SA","DAL",0,0,10.5
"PF/C","Johnathan Motley",3000,"DAL@SA 12/16/2017 08:30PM ET",7.25,"DAL","SA",0,0,0
"SG","Antonius Cleveland",3000,"DAL@SA 12/16/2017 08:30PM ET",4.944,"DAL","SA",0,5.6,0
"PG","Derrick White",3000,"DAL@SA 12/16/2017 08:30PM ET",6.65,"SA","DAL",0,0,0
